date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:29:04	368904/368904	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202020%2021:29:02%20GMT	https://ducbq173023.wixsite.com/mysite	/home/happyperson/websites/mysite/ducbq173023.wixsite.com/mysite.html	(from )
04:29:04	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://ducbq173023.wixsite.com/robots.txt		(from )
04:29:05	1061/1061	---M--	200	added ('OK')	image/x-icon	etag:%225f46d45a-425%22	https://www.wix.com/favicon.ico	/home/happyperson/websites/mysite/www.wix.com/favicon.ico	(from https://ducbq173023.wixsite.com/mysite)
04:29:05	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/home/happyperson/websites/mysite/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:06	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/home/happyperson/websites/mysite/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:08	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2004%20Nov%202020%2015:43:14%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	/home/happyperson/websites/mysite/polyfill.io/v3/polyfill.mind82c.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:08	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Nov%202020%2021:29:08%20GMT	https://ducbq173023.wixsite.com/mysite/decodeURIComponent(e	/home/happyperson/websites/mysite/ducbq173023.wixsite.com/mysite/decodeURIComponent(e	(from https://ducbq173023.wixsite.com/mysite)
04:29:10	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	/home/happyperson/websites/mysite/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:12	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	/home/happyperson/websites/mysite/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://ducbq173023.wixsite.com/mysite)
04:29:13	2446459/2446459	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d43e6dfdd77fc4b0419df89f09521be6%22	https://static.parastorage.com/services/communities-blog-viewer-app/1.970.0/feed-page-viewer.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/communities-blog-viewer-app/1.970.0/feed-page-viewer.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:13	287073/287073	---MCZ	200	added ('OK')	application/javascript	etag:W/%22203a6911ee41bbf1cdff7b8019f3b6ba%22	https://static.parastorage.com/services/communities-blog-viewer-app/1.970.0/archive-widget-viewer.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/communities-blog-viewer-app/1.970.0/archive-widget-viewer.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:16	2384070/2384070	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265b0e2aa1983f79b07779799f5970d6a%22	https://static.parastorage.com/services/communities-blog-viewer-app/1.970.0/post-page-viewer.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/communities-blog-viewer-app/1.970.0/post-page-viewer.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:16	910986/910986	---MCZ	200	added ('OK')	application/javascript	etag:W/%22871d48526cb530fa8660f244e8fb8470%22	https://static.parastorage.com/services/communities-blog-viewer-app/1.970.0/post-list-widget-viewer.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/communities-blog-viewer-app/1.970.0/post-list-widget-viewer.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:16	289513/289513	---MCZ	200	added ('OK')	application/javascript	etag:W/%228837557124a75631582ddba9670e036b%22	https://static.parastorage.com/services/communities-blog-viewer-app/1.970.0/category-menu-widget-viewer.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/communities-blog-viewer-app/1.970.0/category-menu-widget-viewer.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:17	299791/299791	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267dfb00cb12e7fde26b9f89e56267c7d%22	https://static.parastorage.com/services/communities-blog-viewer-app/1.970.0/tag-cloud-widget-viewer.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/communities-blog-viewer-app/1.970.0/tag-cloud-widget-viewer.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:18	14625/14625	---MCZ	200	added ('OK')	application/json	date:Tue,%2010%20Nov%202020%2021:29:17%20GMT	https://ducbq173023.wixsite.com/mysite/_api/v2/dynamicmodel	/home/happyperson/websites/mysite/ducbq173023.wixsite.com/mysite/_api/v2/dynamicmodel.json	(from https://ducbq173023.wixsite.com/mysite)
04:29:20	385351/385351	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fc20e8481c3b9f6e18a48dc1712d2589%22	https://static.parastorage.com/services/communities-blog-editor-app/1.812.0/editor-app.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/communities-blog-editor-app/1.812.0/editor-app.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:20	389025/389025	---M-Z	200	added ('OK')	application/javascript	etag:W/%222369ee41ca308f6c27b49b494b86556f%22	https://static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.a742ae92.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.a742ae92.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
04:29:21	1015959/1015959	---MCZ	200	added ('OK')	application/javascript	etag:W/%226eba64cdc1cf59c4f48f8262b1f1dd4b%22	https://static.parastorage.com/services/wix-form-builder/1.3735.0/editor-app.bundle.min.js	/home/happyperson/websites/mysite/static.parastorage.com/services/wix-form-builder/1.3735.0/editor-app.bundle.min.js	(from https://ducbq173023.wixsite.com/mysite)
